"","STORE_NO","REVENUE_2013","ZIP","SQUARE_FEET","U_CITY","U_STATE","CENSUS_REGION","CENSUS_DIVISION","TOT_ATTRITION_2012","TOT_ATTRITION_2013","NUM_ASSISTANT_MANAGERS","NUM_CUST_ACC_REPS","NUM_STORE_MANAGERS","NUM_EMP_PAY_TYPE_H","AVG_PAY_RATE_PAY_TYPE_S","AVG_PAY_RATE_PAY_TYPE_H","NAT_CURR_ROBBERY","NAT_CURR_BURGLARY","NAT_CURR_MOT_VEH_THEFT","NAT_PAST_ROBBERY","NAT_PAST_BURGLARY","NAT_PAST_MOT_VEH_THEFT","FRONTAGE_ROAD","NUM_PARKING_SPACES","SIGNAGE_VISIBILITY_IND","AUTOZONE_IND","TARGET_IND","WALMART_IND","PAYLESS_IND","COMP_PRESENCE_IND","STRIP_SHOP_CENTER_IND","SINGLE_TENANT_IND","PAD_IN_SHOP_CENTER_IND","MARKETING_EXP_2013","MARKETING_EXP_2012","TOT_NUM_LEADS","NUM_CONVERTED_TO_AGREEMENT","PERC_CONVERTED_TO_AGREEMENT","URBANICITY","CYA01V001","CYB02V001","CYA12V001","CYA12V002","CYA12V003","CYA12V007","CYA12V008","CYA21V001","XCX03V069","PERC_CYEA07V001","PERC_CYEA07V004","PERC_CYEA07V007","PERC_CYEA07V010","PERC_CYB11V006","PERC_CYB11V007","PERC_CYC13VV01","pred_Revenue_2013","diff_Revenue_2013","store_performance"
"2231",3867,742934,37701,5490,"ALCOA","TN","South","East South Central",1,1,5,9,1,4,45000,10.37,67,274,77,70,271,74,"No","Greater than 10","Yes",0,0,0,0,0,1,0,0,797.57,803.17,11827,420,0.0397953383,"Emerging suburban",56802,22945,11617,23765,21513,4491,6409,60.91,32.16,0.907644097,0.0449984155,0.0034505827,0.0097531777,0.0176944868,0.0096753105,0.4432238301,742933.999999987,1.2572854757309e-08,"HIGH"
"2232",3872,943308,48126,3600,"DEARBORN","MI","Midwest","East North Central",1,3,6,8,1,4,44000,12.1575,333,445,146,382,507,206,"No","Greater than 10","Yes",0,0,0,0,0,0,0,1,1439.32,639.77,10747,469,0.0582970789,"Urban",202061,70682,59210,62733,54345,11481,17928,44.45,69.69,0.5752371809,0.314984089,0.0039641494,0.0110956592,0.0493902266,0.047451968,0.0864046006,943307.999999993,6.98491930961609e-09,"HIGH"
"2233",3873,695430,48220,7455,"FERNDALE","MI","Midwest","East North Central",1,5,4,5,3,4,45000,12.3575,319,517,154,314,408,129,"Yes","Greater than 10","Yes",0,0,0,0,0,0,0,1,540.73,644.92,6908,296,0.0446388177,"Urban",267824,113219,88315,85838,77404,16370,29321,55.11,76.27,0.5112723281,0.4354538802,0.003375351,0.020449997,0.0212066879,0.0153507803,0.096414063,695429.999999976,2.35158950090408e-08,"HIGH"
"2234",3876,737583,48089,4225,"WARREN","MI","Midwest","East North Central",3,1,6,5,2,5,44000,12.744,399,443,295,465,618,499,"No","Greater than 10","Yes",0,0,0,1,0,0,0,0,640.85,805.25,7397,393,0.085751691,"Urban",242274,93003,77883,77369,70908,14326,23218,50.39,63.68,0.5590983762,0.3865540669,0.0039335628,0.0221360938,0.0303538596,0.0226874402,0.0785515573,689155.667908137,48427.3320918635,"HIGH"
"2235",3877,896055,48503,4388,"FLINT","MI","Midwest","East North Central",5,1,5,8,1,4,46000,11.33,269,342,85,379,541,152,"No","Greater than 10","Yes",0,1,0,0,0,0,0,0,825.27,742.9,10226,387,0.0605633803,"Suburban",136268,56329,42677,42093,36250,8394,15033,72.91,56.37,0.6624666099,0.2778935627,0.0066413244,0.0065385857,0.0216229651,0.0132968808,0.1429902839,745837.92502319,150217.07497681,"HIGH"
"2236",3878,733325,28303,7200,"FAYETTEVILLE","NC","South","South Atlantic",1,4,5,10,4,4,44000,10.8125,163,405,174,183,490,147,"Yes","Greater than 10","Yes",0,0,0,0,0,1,0,0,2244.74,992.72,11338,341,0.0567954697,"Suburban",107360,46877,30173,36443,28671,5773,13131,57.17,62.34,0.4342585693,0.447447839,0.0111028316,0.0271423249,0.0164899631,0.0082343153,0.2241523845,692274.168809891,41050.8311901095,"HIGH"
"2237",3880,694482,29169,4000,"WEST COLUMBIA","SC","South","South Atlantic",4,3,6,17,2,4,43000,10.905,104,263,103,159,314,102,"Yes","Greater than 10","Yes",0,0,0,0,0,1,0,0,2258.37,2929.88,9111,457,0.0517202354,"Suburban",140715,59277,56193,42299,35279,7695,12686,92.79,51.96,0.5782539175,0.3439860711,0.0038233308,0.0213907544,0.0142382374,0.0090085531,0.1632661763,698036.511070892,-3554.51107089245,"LOW"
"2238",3883,872882,14215,4600,"BUFFALO","NY","Northeast","Middle Atlantic",4,3,2,15,3,4,43000,11.435,478,553,290,553,701,329,"No","Greater than 10","Yes",0,0,0,0,0,1,0,0,1139.57,751.3,11054,404,0.0773353752,"Urban",192953,81610,66925,61364,53089,11918,18309,39.28,98.58,0.5556741797,0.3769829959,0.003130296,0.0325726991,0.0169341992,0.0096924397,0.1263001871,852468.302118152,20413.6978818477,"HIGH"
"2239",3884,608352,14606,4300,"ROCHESTER","NY","Northeast","Middle Atlantic",3,2,2,8,2,3,43000,11.663333333,359,240,197,383,245,177,"No","Greater than 10","Yes",0,0,0,0,0,1,0,0,588.57,214.95,8761,280,0.0472414375,"Suburban",246296,103040,90192,76572,65872,13393,21700,95.81,93.39,0.6244965407,0.2676291941,0.0038003053,0.0378853087,0.0182259317,0.0119565217,0.0967859811,677942.29773911,-69590.2977391102,"LOW"
"2240",3885,944418,14621,4800,"ROCHESTER","NY","Northeast","Middle Atlantic",5,0,3,8,1,4,45000,12.15,342,229,250,318,244,212,"Yes","Greater than 10","Yes",0,0,0,0,1,1,0,0,470.25,494.08,8738,361,0.0558823529,"Urban",145547,60001,48886,43872,38067,8279,12812,29.73,95.62,0.5426425828,0.3114595285,0.0042391805,0.0209623008,0.0220662989,0.015299745,0.1391715391,833949.657836496,110468.342163504,"HIGH"
"2241",3887,739949,44512,3675,"BOARDMAN","OH","Midwest","East North Central",1,0,2,4,2,4,41000,11.8625,129,285,61,174,357,82,"No","Between 1 and 10","Yes",0,0,0,0,0,1,0,0,1124.02,588.44,10142,452,0.0541966427,"Suburban",108905,47072,27697,41845,39057,10348,10613,78.46,47.45,0.7928194298,0.163867591,0.0017170929,0.0090629448,0.018099932,0.0083276683,0.23447041,739948.999999998,1.62981450557709e-09,"HIGH"
"2242",3888,976329,44446,6200,"NILES","OH","Midwest","East North Central",3,0,4,6,2,5,47000,10.526,102,285,60,133,396,78,"No","Between 1 and 10","Yes",0,0,0,0,0,0,1,0,802.86,1081.84,12864,622,0.080465718,"Emerging suburban",86765,37588,22149,33800,30890,5995,9539,74.64,41.5,0.8599665764,0.1036132081,0.00194779,0.0068230277,0.017292753,0.0092848782,0.2737855126,1002575.71703605,-26246.7170360488,"LOW"
"2243",3889,802399,44483,6675,"WARREN","OH","Midwest","East North Central",0,0,2,2,1,4,49000,13.22,224,380,122,199,545,162,"Yes","Greater than 10","Yes",0,0,0,0,0,0,0,0,1253.94,562.75,11519,607,0.1030385334,"Emerging suburban",70463,29583,18195,26436,23753,4603,8336,96.41,45.44,0.7883570101,0.1751415637,0.002199736,0.004314321,0.0188621844,0.0115268904,0.3138668521,875259.752099485,-72860.7520994853,"LOW"
"2244",3891,847185,44509,7150,"YOUNGSTOWN","OH","Midwest","East North Central",2,4,4,11,2,5,45000,11.01,253,301,89,284,343,119,"Yes","Greater than 10","Yes",0,0,0,0,0,1,0,0,833.69,871.69,11318,491,0.0889331643,"Suburban",95814,41021,28299,32097,29027,8287,10315,55.12,51.8,0.7150520801,0.2341515854,0.0023900474,0.0051871334,0.0164549865,0.0091904147,0.2200617864,806346.857439141,40838.1425608591,"HIGH"
